param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
rsk,ti6al4v,tf,int,white,1,24.2650549303303,24.2650549303303,24.2650549303303,24.2650549303303,10--30\%
rsk,ti6al4v,tr,FV,green,1,3.46634962933301,3.46634962933301,3.46634962933301,3.46634962933301,<10\%
rsk,ti6al4v,wedm_f,FV,green,1,1.45427197833504,1.45427197833504,1.45427197833504,1.45427197833504,<10\%
rsk,ti6al4v,wedm_r,FV,red,1,4.07631907067358,4.07631907067358,4.07631907067358,4.07631907067358,<10\%
rsm,14301,b,int,white,1,99.9567568489663,99.9567568489663,99.9567568489663,99.9567568489663,>30\%
rsm,14301,gla,FV,red,1,99.9457034703262,99.9457034703262,99.9457034703262,99.9457034703262,>30\%
rsm,14301,gri,FV,green,1,99.906180552509,99.906180552509,99.906180552509,99.906180552509,>30\%
rsm,14301,hon,FV,green,1,99.8729507503177,99.8729507503177,99.8729507503177,99.8729507503177,>30\%
rsm,14301,mf,int,white,1,99.9326461128934,99.9326461128934,99.9326461128934,99.9326461128934,>30\%
rsm,14301,mr,int,white,1,99.9653787221798,99.9653787221798,99.9653787221798,99.9653787221798,>30\%
rsm,14301,tf,int,white,1,99.5654405653468,99.5654405653468,99.5654405653468,99.5654405653468,>30\%
rsm,14301,tr,int,white,1,99.7206575803274,99.7206575803274,99.7206575803274,99.7206575803274,>30\%
rsm,14301,wedm_f,FV,green,1,99.892869201598,99.892869201598,99.892869201598,99.892869201598,>30\%
rsm,14301,wedm_r,FV,red,1,99.9172731766875,99.9172731766875,99.9172731766875,99.9172731766875,>30\%
rsm,al7075,b,int,white,1,99.9226170758621,99.9226170758621,99.9226170758621,99.9226170758621,>30\%
rsm,al7075,gla,FV,green,1,99.9218354503235,99.9218354503235,99.9218354503235,99.9218354503235,>30\%
rsm,al7075,gri,FV,green,1,99.9345562658555,99.9345562658555,99.9345562658555,99.9345562658555,>30\%
rsm,al7075,hon,FV,red,1,99.8996264358262,99.8996264358262,99.8996264358262,99.8996264358262,>30\%
rsm,al7075,mf,FV,blue,1,99.9719689937204,99.9719689937204,99.9719689937204,99.9719689937204,>30\%
rsm,al7075,mr,int,white,1,99.8253018689568,99.8253018689568,99.8253018689568,99.8253018689568,>30\%
rsm,al7075,tf,int,white,1,99.7563401097316,99.7563401097316,99.7563401097316,99.7563401097316,>30\%
rsm,al7075,tr,int,white,1,99.6535967811006,99.6535967811006,99.6535967811006,99.6535967811006,>30\%
rsm,al7075,wedm_f,FV,green,1,99.8709554947058,99.8709554947058,99.8709554947058,99.8709554947058,>30\%
rsm,al7075,wedm_r,int,blue,1,99.9128941098258,99.9128941098258,99.9128941098258,99.9128941098258,>30\%
